trade_code,,,,
005157,JSLHZCPZHHC,嘉实领航资产配置混合C,混合-FOF,JIASHILINGHANGZICHANPEIZHIHUNHEC
005158,CJLYDKZFQS,长江乐盈定开债发起式,定开债券,CHANGJIANGLEYINGDINGKAIZHAIFAQISHI
005159,HTBXZHZQA,华泰保兴尊合债券A,债券型,HUATAIBAOXINGZUNHEZHAIQUANA
005160,HTBXZHZQC,华泰保兴尊合债券C,债券型,HUATAIBAOXINGZUNHEZHAIQUANC
005161,HSSYCYGP,华商上游产业股票,股票型,HUASHANGSHANGYOUCHANYEGUPIAO
005162,ZYRYBHBB,中银如意宝货币B,货币型,ZHONGYINRUYIBAOHUOBIB
005164,FRFJHHA,富荣福锦混合A,混合型,FURONGFUJINHUNHEA
005165,FRFJHHC,富荣福锦混合C,混合型,FURONGFUJINHUNHEC
005166,JSRHLHDQHH,嘉实润和量化定期混合,混合型,JIASHIRUNHELIANGHUADINGQIHUNHE
005167,JSRZLHDQHH,嘉实润泽量化定期混合,混合型,JIASHIRUNZELIANGHUADINGQIHUNHE
005168,XDAYXZCDKHH,信达澳银新征程定开混合,混合型,XINDAAOYINXINZHENGCHENGDINGKAIHUNHE
005169,HTBXCLJXA,华泰保兴策略精选A,混合型,HUATAIBAOXINGCELUEJINGXUANA
005170,HTBXCLJXC,华泰保兴策略精选C,混合型,HUATAIBAOXINGCELUEJINGXUANC
005171,FGJLCZZQ,富国景利纯债债券,债券型,FUGUOJINGLICHUNZHAIZHAIQUAN
005172,TKAYCZ3YDKZQ,泰康安悦纯债3月定开债券,定开债券,TAIKANGANYUECHUNZHAI3YUEDINGKAIZHAIQUAN
005173,FRFAZQA,富荣富安债券A,债券型,FURONGFUANZHAIQUANA
005174,FRFAZQC,富荣富安债券C,债券型,FURONGFUANZHAIQUANC
005175,GSABXFXLHHH,国寿安保消费新蓝海混合,混合型,GUOSHOUANBAOXIAOFEIXINLANHAIHUNHE
005176,FGJZYLHH,富国精准医疗混合,混合型,FUGUOJINGZHUNYILIAOHUNHE
005177,HXRPTLDKHHA,华夏睿磐泰利定开混合A,混合型,HUAXIARUIPANTAILIDINGKAIHUNHEA
005178,HXRPTLDKHHC,华夏睿磐泰利定开混合C,混合型,HUAXIARUIPANTAILIDINGKAIHUNHEC
005179,XDAYXQDDQKFHH,信达澳银新起点定期开放混合,混合型,XINDAAOYINXINQIDIANDINGQIKAIFANGHUNHE
005183,BSFSZGAGZS,博时富时中国A股指数,股票指数,BOSHIFUSHIZHONGGUOAGUZHISHU
005185,GTZHSYDQKFZQ,国泰招惠收益定期开放债券,定开债券,GUOTAIZHAOHUISHOUYIDINGQIKAIFANGZHAIQUAN
005186,CAXXHHA,长安鑫兴混合A,混合型,CHANGANXINXINGHUNHEA
005187,CAXXHHC,长安鑫兴混合C,混合型,CHANGANXINXINGHUNHEC
005188,HFTLHQFGPC,海富通量化前锋股票C,股票型,HAIFUTONGLIANGHUAQIANFENGGUPIAOC
005189,HFTLHQFGPA,海富通量化前锋股票A,股票型,HAIFUTONGLIANGHUAQIANFENGGUPIAOA
005193,BXRFDLZQC,北信瑞丰鼎利债券C,债券型,BEIXINRUIFENGDINGLIZHAIQUANC
005194,NFTTLHBE,南方天天利货币E,货币型,NANFANGTIANTIANLIHUOBIE
